facility_name,facility_id
Whitehill Golf Club,13935
Maylands Golf Club,13937
Middleton Hall Golf Club,13945
Walmer & Kingsdown Golf Club,13985
Twisted Stone Golf Course,14009
Eaton (Norfolk) Golf Club,14019
Westgate & Birchington Golf Club,14039
Chingford Golf Course,14042
High Beech Golf Centre - Yellow,14048
Woolston Manor Golf Club,14057
Ifield Golf Club,14060
Lindfield Golf Club,14071
Whipsnade Park Golf Club,14098
"Wensum Valley Hotel, Golf and Country Club - Valley Course",14108
Crews Hill Golf Club,14109
Ryde Golf Club,14117
Mannings Heath Golf Club - The Kingfisher Course,14127
Batchwood Golf & Sport Centre,14158
St Neots Golf Course,14162
St Augustines Golf Club,14202
Norfolk Premier Golf,14206
Brocket Hall Golf Club -The Palmerston Course,14213
The Melbourne Club at Brocket Hall,14215
The Oaks Golf Centre,14220
Sudbury Golf Club,14265
Chobham Golf Club,14282
The Oaks Golf Centre - 9 Hole Course,14288
The Leatherhead Club,14289
Stockley Park Golf Club,14309
Wexham Park Golf Centre - Blue (main) Course,14313
Wexham Park Golf Centre - Green Course,14314
Grims Dyke Golf Club,14328
Chiltern Forest Golf Club,14335
Costessey Park,14390
Richmond Park Golf Club,14391
Cheshunt Park Golf Centre,14402
The West London Golf Centre,14412
Colne Valley Golf Club,14455
Little Channels At the Cliffords Estate,14468
Rickmansworth Golf Course,14474
Barnehurst Golf Course,14502
Brighton & Hove Golf Club,14532
Caldecott Hall Golf Club - Caldecott Course,14539
Five Lakes - Lakes Course,14542
Mid Sussex Golf Club,14550
The Notleys Golf Club,14584
Bawburgh Golf Club,14601
Chesham & Ley Hill Golf Club,14603
Manor of Groves Golf Hotel & Country Club,14627
Richings Park Golf Club,14654
Epping Golf Course,14658
Thorney Park Golf Club,14664
Ryston Park Golf Club,14687
Stevenage Golf & Conference Centre - Bragbury Course,14694
Peacehaven Golf & Fitness,14698
Iver Golf Club & Academy,14699
Flackwell Heath Golf Club,14707
Little Hay Golf Club,14708
Buckingham Golf Club,14721
Pyecombe Golf Club,14741
"Ufford Park Woodbridge Hotel, Golf & Spa",14743
Essendon Country Club - Old Course,14745
Foxhills Club and Resort - Bernard Hunt Course,14771
Heacham Manor Hotel,14776
Hythe Golf Club Ltd,14797
Mannings Heath Golf Club - The Waterfall Course,14800
Leeds Castle,14802
Sprowston Manor Hotel & Country Club,14805
Horne Park Golf Club,14806
Hever Castle Golf Club - Championship Course,14807
Chipstead Golf Club,14814
Rivenhall Oaks Golf Centre - Oaks Course,14837
Addington Palace Golf Club,14888
Essendon Country Club - New Course,14895
Stapleford Abbotts Golf Club - Abbotts Course,14906
Farleigh Golf Club,14908
Foxhills Club and Resort - Longcross Course,14959
Shendish Manor Hotel and Golf Course,15039
The Hertfordshire Golf Club,15063
Woodcote Park Golf Club,15073
Corinthian (Fawkham Valley) Golf Club,15088
Shooters Hill Golf Club,15094
The Suffolk Golf Club,15097
Westridge Golf Club,15116
Camberley Heath Golf Club,15117
Canterbury Golf Club,15118
Banstead Downs Golf Club,15120
Girton Golf Club,15137
Rookery Park Golf Club,15169
Frinton Golf Club - The Kirby Course,15186
Chigwell Golf Club,15239
Bury St Edmunds - Greene King 9 Hole,15267
Enfield Golf Club,15421
Ramsey Golf & Bowls Club,15425
Mundesley Golf Club,15605
Swaffham Golf Club,15622
Sandy Lodge Golf Club,15642
Dyrham Park Country Club,15648
Ilford Golf Club,15715
Metro Golf Centre,15783
Princes Park Stadium Golf Course,15810
Newton Green Golf Club,15840
Mattishall Golf Club,15879
Theydon Bois Golf Club,15935
Knebworth Golf Club,15982
Avisford Park Golf Club,15990
West Kent Golf Club,16508
Brookmans Park Golf Club,16596
Sandown Park Golf Club (Eclipse),17386
Stonelees Golf Centre - The Executive,17407
Stonelees Golf Centre - The Heights,17408
Sandown Park Golf Club (Masters),17532
Chadwell Springs Golf Course,17656
Searles Resort Golf Club,17664
Dukes Meadows Golf,17712
